species,location,admin_chain,year,status,property
红耳彩龟,小坑水库,"广东省,广州市,小坑水库",2017,分布,year=2017;status=分布
红耳彩龟,杭州市西湖风景名胜区,"浙江省,杭州市,杭州市西湖风景名胜区",,分布,year=null;status=分布
红耳彩龟,水绘园风景区,"江苏省,如皋市,水绘园风景区",2025,提及,year=2025;status=提及
红耳彩龟,西溪国家湿地公园,"浙江省,杭州市,西溪国家湿地公园",,分布,year=null;status=分布
红耳彩龟,长乐区,"福建省,福州市,长乐区",2026,提及,year=2026;status=提及
红耳彩龟,长春动植物公园,"吉林省,长春市,长春动植物公园",2024,提及,year=2024;status=提及
红耳彩龟,黄婆洞水库,"广东省,广州市,黄婆洞水库",2017,分布,year=2017;status=分布
非洲大蜗牛,平潭综合实验区,"福建省,平潭综合实验区",2025,发生,year=2025;status=发生
非洲大蜗牛,平潭综合实验区,"福建省,平潭综合实验区",2026,发生,year=2026;status=发生
非洲大蜗牛,三江镇,"广东省,江门市,三江镇",,分布,year=null;status=分布
非洲大蜗牛,上杭县,"福建省,龙岩市,上杭县",2024,分布,year=2024;status=分布
非洲大蜗牛,化龙镇,"广东省,广州市,番禺区,化龙镇",,分布,year=null;status=分布
非洲大蜗牛,华石镇,"广东省,云浮市,罗定市,华石镇",,分布,year=null;status=分布
非洲大蜗牛,南山区,"广东省,深圳市,南山区",,分布,year=null;status=分布
非洲大蜗牛,南投县,"台湾省,南投县",,培育,year=null;status=培育
非洲大蜗牛,南沙区,"广东省,广州市,南沙区",,分布,year=null;status=分布
非洲大蜗牛,南澳县,"广东省,汕头市,南澳县",,分布,year=null;status=分布
非洲大蜗牛,双东街道,"广东省,云浮市,罗定市,双东街道",,分布,year=null;status=分布
非洲大蜗牛,双水镇,"广东省,江门市,双水镇",,分布,year=null;status=分布
非洲大蜗牛,和平县,"广东省,河源市,和平县",,未采集到,year=null;status=未采集到
非洲大蜗牛,大岗镇,"广东省,广州市,番禺区,大岗镇",,分布,year=null;status=分布
非洲大蜗牛,太平镇,"广东省,云浮市,罗定市,太平镇",,分布,year=null;status=分布
非洲大蜗牛,安溪县,"福建省,泉州市,安溪县",,分布质心,year=null;status=分布质心
非洲大蜗牛,富宁县,"云南省,文山壮族苗族自治州,富宁县",2001,发现,year=2001;status=发现
非洲大蜗牛,平潭综合实验区,"福建省,平潭综合实验区",2025,分布,year=2025;status=分布
非洲大蜗牛,广宁县,"广东省,肇庆市,广宁县",,未调查,year=null;status=未调查
非洲大蜗牛,延平区,"福建省,南平市,延平区",2025,分布,year=2025;status=分布
非洲大蜗牛,思茅区,"云南省,普洱市,思茅区",,分布,year=null;status=分布
非洲大蜗牛,晋安区,"福建省,福州市,晋安区",2024,分布,year=2024;status=分布
非洲大蜗牛,晋安河公园,"福建省,福州市,晋安区,晋安河公园",2024,分布,year=2024;status=分布
非洲大蜗牛,曲江区,"广东省,韶关市,曲江区",,未采集到,year=null;status=未采集到
非洲大蜗牛,榄核镇,"广东省,广州市,番禺区,榄核镇",,分布,year=null;status=分布
非洲大蜗牛,水南街道江南社区,"福建省,南平市,延平区,水南街道江南社区",2025,分布,year=2025;status=分布
非洲大蜗牛,琼中县,"海南省,琼中县",,分布,year=null;status=分布
非洲大蜗牛,瑞安公园,"广西壮族自治区,柳州市,瑞安公园",2023,分布,year=2023;status=分布
非洲大蜗牛,瑞景公园小区,"福建省,厦门市,思明区,瑞景公园小区",2025,分布,year=2025;status=分布
非洲大蜗牛,番禺区,"广东省,广州市,番禺区",,分布,year=null;status=分布
非洲大蜗牛,石碁镇,"广东省,广州市,番禺区,石碁镇",,分布,year=null;status=分布
非洲大蜗牛,礼乐镇,"广东省,江门市,礼乐镇",,分布,year=null;status=分布
非洲大蜗牛,罗城街道,"广东省,云浮市,罗定市,罗城街道",,分布,year=null;status=分布
非洲大蜗牛,罗镜镇,"广东省,云浮市,罗定市,罗镜镇",,分布,year=null;status=分布
非洲大蜗牛,翁源县,"广东省,韶关市,翁源县",,未采集到,year=null;status=未采集到
非洲大蜗牛,翠江镇,"福建省,三明市,宁化县,翠江镇",2024,分布,year=2024;status=分布
非洲大蜗牛,莲前街道瑞景公园小区,"福建省,厦门市,思明区,莲前街道瑞景公园小区",2025,分布,year=2025;status=分布
非洲大蜗牛,金榜公园,"福建省,厦门市,思明区,金榜公园",2025,分布,year=2025;status=分布
非洲大蜗牛,马关县,"云南省,文山壮族苗族自治州,马关县",2001,发现,year=2001;status=发现
非洲大蜗牛,麻栗坡县,"云南省,文山壮族苗族自治州,麻栗坡县",2001,发现,year=2001;status=发现
鳄雀鳝,凌水水库,"辽宁省,大连市,凌水水库",,发现,year=null;status=发现
鳄雀鳝,厦门同安放生池,"福建省,厦门市,厦门市同安区,厦门同安放生池",2026,发现并捕获,"year=2026,status=发现并捕获"
鳄雀鳝,厦门市同安区,"福建省,厦门市,厦门市同安区",2026,发现并捕获,"year=2026,status=发现并捕获"
鳄雀鳝,四川自贡小区,"四川省,自贡市,四川自贡小区",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,大沥凤东公园,"广东省,佛山市,大沥镇,大沥凤东公园",2022,发现,"year=2022,status=发现"
鳄雀鳝,大沥镇,"广东省,佛山市,大沥镇",2022,发现,"year=2022,status=发现"
鳄雀鳝,大沥镇,"广东省,佛山市,大沥镇",2022,发现并抓捕,year=2022-08-31;status=发现并抓捕
鳄雀鳝,常青花园中心公园,"湖北省,武汉市,武汉市东西湖区,常青花园中心公园",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,常青花园中心公园人工湖,"湖北省,武汉市,武汉市东西湖区,常青花园中心公园,常青花园中心公园人工湖",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,广州市白云区,"广东省,广州市,广州市白云区",2023,发现并捕获,"year=2023,status=发现并捕获"
鳄雀鳝,广州市白云区槎龙社区,"广东省,广州市,广州市白云区,广州市白云区槎龙社区",2023,发现并捕获,"year=2023,status=发现并捕获"
鳄雀鳝,广州白云公园,"广东省,广州市,广州市白云区,广州白云公园",2023,发现并捕获,"year=2023,status=发现并捕获"
鳄雀鳝,广州白云区,"广东省,广州市,广州白云区",2023,发现,year=2023-12-05;status=发现
鳄雀鳝,扶绥县渠黎镇,"广西壮族自治区,崇左市,扶绥县,扶绥县渠黎镇",2022,发现并灭杀,"year=2022,status=发现并灭杀"
鳄雀鳝,无锡小区人工湖,"江苏省,无锡市,无锡小区人工湖",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,槎龙社区公园,"广东省,广州市,广州市白云区,广州市白云区槎龙社区,槎龙社区公园",2023,发现并捕获,"year=2023,status=发现并捕获"
鳄雀鳝,武汉市东西湖区,"湖北省,武汉市,武汉市东西湖区",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,江津区,"重庆市,江津区",2022,发现,"year=2022,status=发现"
鳄雀鳝,海韵嘉园人工湖,"山东省,青岛市,青岛市黄岛区,海韵嘉园人工湖",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,深圳小区景观池,"广东省,深圳市,深圳小区景观池",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,渠黎镇某山庄,"广西壮族自治区,崇左市,扶绥县,扶绥县渠黎镇,渠黎镇某山庄",2022,发现并灭杀,"year=2022,status=发现并灭杀"
鳄雀鳝,温江区,"四川省,成都市,温江区",2022,发现,"year=2022,status=发现"
鳄雀鳝,福建寺庙放生池,"福建省,福建寺庙放生池",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,银川市金凤区,"宁夏回族自治区,银川市,银川市金凤区",2022,发现,"year=2022,status=发现"
鳄雀鳝,长沙市岳麓区,"湖南省,长沙市,长沙市岳麓区",2022,发现,"year=2022,status=发现"
鳄雀鳝,长沙市开福区,"湖南省,长沙市,长沙市开福区",2025,发现,year=2025-05-08;status=发现
鳄雀鳝,青岛小区人工湖,"山东省,青岛市,青岛小区人工湖",2022,发现并捕获,"year=2022,status=发现并捕获"
鳄雀鳝,青岛市黄岛区,"山东省,青岛市,青岛市黄岛区",2022,发现并捕获,"year=2022,status=发现并捕获"
